번호,화면,상태,우선순위,시나리오,사전조건,수행단계,기대결과,실제결과
1,온보딩,실패,1순위,'건너뛰기' 버튼을 0-2~0-6 중 어느 단계에서 누르더라도 0-7로 이동한다,-,0-2~0-6 각 단계에서 건너뛰기 클릭 → 0-7 이동 확인,'건너뛰기' 버튼을 0-2~0-6 중 어느 단계에서 누르더라도 0-7로 이동한다,바로 다음 단계로만 넘어감 (예: 1/4 단계 → 2/4 단계)
2,0-1,성공,2순위,헤더/푸터/GNB가 노출되지 않는다,-,온보딩 각 화면 진입 → 헤더/푸터/GNB 노출 여부 확인,헤더/푸터/GNB가 노출되지 않는다,
3,0-1,실패,1순위,비회원 상태 + 재진입 쿠키 없음 → 온보딩 페이지로 강제 리다이렉트된다,비회원 상태로 최초 접속,쿠키·로컬스토리지 삭제 후 사이트 접속 → 온보딩 리다이렉트 확인,비회원 상태 + 재진입 쿠키 없음 → 온보딩 페이지로 강제 리다이렉트된다,"  • 쿠키가 아니라 localStorage 기준으로 온보딩 노출 여부를 판단하는 것으로 추정
  • localStorage 필드: accountId, kakaoId, ni…opy, seenInsightKeys, seenWelcome"
4,0-1,실패,2순위,"리다이렉트와 동시에 재진입 쿠키가 갱신 저장되며, 만료기간이 14일로 설정된다",비회원 상태로 최초 접속,리다이렉트 직후 쿠키 값·만료기간(14일) 개발자 도구로 확인,"리다이렉트와 동시에 재진입 쿠키가 갱신 저장되며, 만료기간이 14일로 설정된다","  • 쿠키가 아니라 localStorage 기준으로 온보딩 노출 여부를 판단하는 것으로 추정
  • localStorage 필드: accountId, kakaoId, ni…opy, seenInsightKeys, seenWelcome
→ 만료 개념이 없는 것으로 추정"
5,0-1,실패,2순위,재방문 시마다 쿠키 만료 시점이 14일 기준으로 rolling 연장된다,비회원 상태로 최초 접속,며칠 간격 재방문 후 쿠키 만료 시점 갱신 여부 확인,재방문 시마다 쿠키 만료 시점이 14일 기준으로 rolling 연장된다,"  • 쿠키가 아니라 localStorage 기준으로 온보딩 노출 여부를 판단하는 것으로 추정
  • localStorage 필드: accountId, kakaoId, ni…opy, seenInsightKeys, seenWelcome
→ 만료 개념이 없는 것으로 추정"
6,0-1,보류,2순위,로그아웃 상태로 재방문한 기존 회원도 쿠키가 없으면 동일하게 온보딩이 노출된다,비회원 상태로 최초 접속,로그아웃 후 쿠키 삭제 상태로 재방문 → 온보딩 노출 확인,로그아웃 상태로 재방문한 기존 회원도 쿠키가 없으면 동일하게 온보딩이 노출된다,로그인 상태로 진입 자체가 불가하여(카카오 로그인 개발 진행 중・이메일 로그인 화면 없음) 확인 불가
7,0-1,실패,2순위,"딥링크(특정 게시물/공유 링크)로 진입 시 온보딩으로 리다이렉트되며, 원래 목적지가 파라미터로 함께 전달된다",비회원 상태로 최초 접속,딥링크 URL로 비회원 접속 → 온보딩 리다이렉트·파라미터 전달 확인,"딥링크(특정 게시물/공유 링크)로 진입 시 온보딩으로 리다이렉트되며, 원래 목적지가 파라미터로 함께 전달된다","딥링크 진입 시(테스트 링크: /home, /record) 온보딩으로 리다이렉트되지 않음"
8,0-1,보류,2순위,온보딩 완료 후 딥링크로 진입했던 원래 목적지로 정상 이동하는지 확인,비회원 상태로 최초 접속,딥링크로 온보딩 진입 후 완료 → 원래 목적지 이동 확인,온보딩 완료 후 딥링크로 진입했던 원래 목적지로 정상 이동하는지 확인,딥링크 진입 시 온보딩으로 리다이렉트되지 않아 확인 불가
9,0-1,보류,2순위,온보딩·회원가입·로그인·API·정적 리소스는 온보딩 리다이렉트에서 제외한다,비회원 상태로 최초 접속,"/signup, /login, API, 정적 리소스 URL 직접 접속 → 리다이렉트 제외 확인",온보딩·회원가입·로그인·API·정적 리소스는 온보딩 리다이렉트에서 제외한다,딥링크 진입 시 온보딩으로 리다이렉트되지 않아 확인 보류
10,0-1,보류,2순위,재진입 쿠키 값이 손상되거나 파싱에 실패한 경우 '쿠키 없음'과 동일하게 처리되어 온보딩이 노출된다,비회원 상태로 최초 접속,쿠키 값을 임의로 손상시킨 뒤 접속 → 온보딩 노출 확인,재진입 쿠키 값이 손상되거나 파싱에 실패한 경우 '쿠키 없음'과 동일하게 처리되어 온보딩이 노출된다,쿠키가 아니라 localStorage 기준으로 온보딩 노출 여부를 판단하는 것으로 추정
