번호,화면,상태,우선순위,시나리오,사전조건,수행단계,기대결과,실제 결과
1,공통,통과,1순위,대시보드/경향해석 계열 화면 GNB 노출,,"1. 인사이트 탭 진입
2. 대시보드 탭 확인
3. 경향해석 탭으로 전환하여 확인
4. 6-3~6-6 각 상태(대기/발행1건/발행2건/히스토리)에서 반복 확인",6-1~6-6 화면 모두 하단 GNB(탭바)가 정상적으로 노출된다,
2,공통,실패,1순위,날짜별/관련기록 화면 상단 back 버튼만 노출,경향해석 카드가 1건 이상 발행된 상태,"1. 경향해석 탭에서 '이 날짜의 카드 전체보기' 클릭해 6-7 진입
2. 6-7에서 '관련 기록 N건→' 클릭해 6-8 진입","6-7, 6-8 화면에는 하단 GNB 없이 상단 back 버튼만 노출된다","'이 날짜의 카드 전체보기'로 진입하는 6-7 화면이 앱에 존재하지 않아 이 경로로는 검증 불가. 다만 6-8 상당 화면(/insights/related, '관련 기록 N건→' 링크로 진입)은 실측 결과 하단 GNB 없이 상단 back 버튼만 노출되는 구조로, 이 부분은 기대와 일치함."
3,공통,보류,2순위,통계 차트 캐시가 사용자별로 분리되어 있다,"서로 다른 계정 2개(A, B) 각각 매매 기록 보유","1. 계정 A로 인사이트 대시보드 진입해 통계 확인
2. 계정 B로 전환해 인사이트 대시보드 진입","계정 B의 통계 화면이 계정 A의 캐시 데이터를 노출하지 않고, 계정 B 자신의 기록 기준으로 표시된다","계정 B의 통계 화면이 계정 A의 캐시 데이터를 노출하지 않고, 계정 B 자신의 기록 기준으로 표시"
5,공통,통과,1순위,기록 추가 시 캐시 즉시 갱신,인사이트 대시보드 진입해 캐시가 생성된 상태,"1. 인사이트 대시보드 조회
2. 새로고침 없이 매매 기록 1건 추가
3. 인사이트 탭으로 재진입(앱 재시작 없이)",직전 캐시가 evict되고 새로고침·재시작 없이 최신 통계가 반영된다,"세션 전반에 걸쳐 수차례 실측됨: 기록을 추가할 때마다(예: 매수 3건→6건, 다른 종목 추가 등) 새로고침·앱 재시작 없이 인사이트/대시보드가 즉시 최신 건수로 갱신됨(예: 총 기록 9건→10건→11건→12건이 매번 즉각 반영됨)."
6,6-1,통과,1순위,6-1 헤더 문구 노출,"전체 매매기록 1건 이상, 인사이트 탭 진입 전",1. 인사이트 탭 진입,"""인사이트"" 라벨 + ""나의 기록 통계"" + ""전체 매매 기록을 기준으로 정리했어요"" 문구가 정확히 노출된다",헤더에 '인사이트' 라벨 + '나의 기록 통계' + '전체 매매 기록을 기준으로 정리했어요' 문구가 스펙과 정확히 일치하게 노출됨 (2026-09-07 실기 계정 실제 확인)
7,6-1,통과,1순위,대시보드 탭 활성 표시,6-1 진입 상태,1. 6-1 화면에서 탭바 확인,대시보드 탭에 활성 밑줄이 표시된다,"대시보드 탭에 밑줄(활성 표시) 정상 노출, 경향해석 탭은 비활성 스타일로 구분됨"
8,6-1,통과,1순위,경향해석 탭 안읽음 뱃지(빨간 점) 조건부 노출,케이스A - 안읽은 발행 카드 0건 / 케이스B - 1건 이상,"1. 케이스A 상태로 6-1 진입, 경향해석 탭 확인
2. 케이스B 상태로 6-1 진입, 경향해석 탭 확인","안읽은 발행 카드가 1장 이상일 때만 경향해석 탭 우측 상단에 8×8 빨간 점이 노출되고, 0건이면 노출되지 않는다",실측 확인: 안낝은 발행 카드가 있는 상태에서 대시보드 탭에서 바라볼 때 경향해석 탭 우측 상단에 빨간 점 배지가 노출됨을 준 확인
9,6-1,실패,1순위,경향해석 탭 클릭 시 안읽음 카드 읽음 처리,안읽은 발행 카드 1건 이상 있어 빨간 점이 노출된 상태,"1. 경향해석 탭 클릭
2. 대시보드 탭으로 다시 돌아와 경향해석 탭의 점 상태 확인","클릭 즉시 탭이 전환되며 안읽음 카드가 전체 읽음 처리되어 점이 사라지고, 이후 재진입해도 다시 나타나지 않는다","실측 결과, 경향해석 탭을 클릭해 진입한 후 대시보드로 돎아와도 경향해석 탭의 빨간 점이 사라지지 않고 계속 남아있음(여러 번 반복 확인). '클릭 즉시 읽음처리되어 점이 사라진다'는 기대와 다름 — 읽음처리 기능이 동작하지 않거나, 카드 재발행(#66)으로 인해 안읽음 상태가 계속 재생성되는 것으로 추정됨."
10,6-1,보류,1순위,매매추이 카드 그래프 축 매핑,여러 날짜에 걸친 매수/매도 기록 존재,1. 6-1 매매추이 카드 확인,"매수/매도 이중 선그래프가 x축=매매일자, y축=매매건수로 정확히 매핑되어 표시된다","현재 계정(매수 4건) 상태에서 그래프 자체가 녹매되지 않고 '기록이 더 쌓이면 일자별 추이가 그려져요' 플레이스홀더만 노출됨. 어떤 임계값(건수/날짜수)에서 그래프가 활성화되는지 스펙에 명시되어 있지 않아, 추가 기록으로 재현 후 축 매핑 검증 예정"
11,6-1,보류,1순위,매매추이 카드 5일 단위 페이지 이동,매매 발생 일자가 5일 이상에 걸쳐 있는 상태,"1. ‹ 클릭
2. › 클릭
3. 상단 표시 구간(예: 08.03~08.20) 확인","‹/› 클릭 시 5일 단위로 페이지가 이동하고, 상단 구간 표기가 정확히 갱신된다",그래프 자체가 녹매되지 않아(10번 참고) 페이지 이동 기능 검증 불가. 추가 기록 확보 후 재시도 필요
12,6-1,보류,1순위,매매추이 카드 화살표 비활성화 경계값,매매 발생 일자 구간의 시작/끝 지점에 도달한 상태,"1. 데이터 시작 지점까지 ‹ 클릭 이동
2. 데이터 끝 지점까지 › 클릭 이동","시작 지점에서 ‹가, 끝 지점에서 ›가 비활성화된다",그래프 자체가 녹매되지 않아(10번 참고) 경계값 검증 불가. 추가 기록 확보 후 재시도 필요
13,6-1,보류,2순위,매매추이 카드 화살표 미노출 (5일 미만 예외),매매 발생 일자가 5일 미만인 상태,1. 6-1 매매추이 카드 확인,좌우 화살표(‹/›) 자체가 노출되지 않는다,"현재 상태(5일 미만으로 추정)에서도 화살표 미노출이 아니라 그래프 전체가 플레이스홀더로 대체됨 "
14,6-1,통과,1순위,계획 이행 현황 3단 막대 표시,전체기록/계획있던기록/계획대로이행 각 수치가 서로 다른 매매기록 존재,1. 6-1 계획 이행 현황 카드 확인,전체기록/계획있던기록/계획대로이행 3단 막대가 절대값과 비율 채움으로 정확히 표시된다,"전체기록 4건/계획있던기록 0건/계획대로이행 0건 3단 막대 레이아웃은 스펙대로 정상 노출됨(라벨+절대값 모두 표시). 수치 계산 로직(15,16번)은 별도 검증 필요"
15,6-1,통과,1순위,'계획이 있었던 기록' 집계 정의 검증,케이스A - 매매 기록 시점에 해당 종목 계획이 이미 등록되어 있던 기록 / 케이스B - 매매 기록 이후에 같은 종목 계획을 등록한 기록,"1. 케이스A, 케이스B 각각 기록 생성
2. 6-1 계획 이행 현황 카드에서 '계획있던기록' 수치 확인","케이스A만 '계획이 있었던 기록'으로 카운트되고, 케이스B(사후 계획 등록)는 카운트되지 않는다","실측: MSFT에 희망400/손절380/목표420 계획 등록 후, 해당 계획을 '연결할 계획'으로 선택해 매수 기록 2건($400, $450)을 추가하자 '계획이 있었던 기록'이 0→1→2건으로 정확히 증가함. 계획 연결 여부(연결할 계획 선택)가 카운트 기준으로 동작함을 확인."
16,6-1,통과,1순위,'계획대로 이행한 기록' 집계 정의 검증,계획있던기록 중 매매가가 계획 희망가 구간 내/외인 기록 각각 존재,"1. 매매가가 구간 내인 기록, 구간 밖인 기록 각각 생성
2. 6-1 계획 이행 현황 카드에서 '계획대로이행' 수치 확인",매매가가 계획의 매매희망가 구간 내에 있는 기록만 '계획대로 이행'으로 카운트된다,"실측: 동일 계획(희망400/손절380/목표420)에 연결된 매수 기록을 구간 내 가격($400)과 구간 밖 가격($450) 각각 1건씩 생성. 결과, '계획이 있었던 기록'은 2건로 늘어났으나 '계획대로 이행한 기록'은 1건에서 멈무름(구간 내 가격만 카운트됨). 매매가가 계획의 희망매수가·손절가·목표가 구간 내에 있는 기록만 '계획대로 이행'으로 카운트됨을 정확히 확인."
17,6-1,통과,1순위,판단 이유 카드 - 한눈에 보기,여러 대분류의 판단근거 기록 존재,1. 6-1 판단 이유 카드(한눈에 보기) 확인,파이차트와 우측 범례(색상칩·라벨·건수·비율)가 정상적으로 매핑되어 노출된다,"도맛차트(차트를 보고 9건, 다른 사람 이야기를 듣고 3건) + 우측 범례(색상칩·라벨·건수)가 정상 매핑되어 노출됨"
18,6-1,실패,2순위,판단 이유 카드 - 자세히 보기,여러 대분류-소분류 조합의 판단근거 기록 존재,"1. '자세히 보기' 전환
2. 대분류별 소분류 파이차트 확인","대분류 개수만큼 소분류 파이차트가 나열되고, 각 파이 옆에 소분류 범례가 붙는다",'자세히 보기' 토글/버튼이 화면에 존재하지 않음. 접근성 트리 검색과 전체 화면 스크롤로도 미검출됨. 대분류 파이차트(한눈에 보기)만 구현되어 있고 소분류 파이차트로 전환하는 기능 자체가 없음
20,6-1,실패,1순위,매매 당시 마음 상태 카드 - 매수/매도 독립 파이,매수/매도 각각 당시상태 기록 존재,1. 6-1 당시 마음 상태 카드 확인,매수/매도 독립 파이차트 2개와 각각의 범례가 나란히 표시된다,"스펙은 매수/매도 독립 파이차트 2개를 요구하나, 실제 화면은 '당시 상태 분포'라는 단일 가로 막대바 리스트로만 구현되어 있음. 파이차트 형태도 아니고 매수/매도 분리도 없음"
21,6-1,실패,2순위,당시 마음 상태 카드 - 한쪽 0건 예외,매수 또는 매도 중 한쪽 기록이 0건인 상태,1. 6-1 당시 마음 상태 카드 확인,"0건인 쪽에 회색 빈 원과 '아직 기록 없음' 문구가 표시되고, 레이아웃 자리는 유지된다",20번 항목(매수/매도 독립 파이)이 파이차트로 구현되어 있지 않아 '한쪽 0건 시 회색 빈 원+아직 기록없음' 처리도 확인 불가. 현재 매도 0건 상태에서도 매도 관련 별도 표시가 전혀 없고 단일 리스트에 매수 데이터만 반영됨
22,6-1,통과,2순위,'다른 데 돈이 필요했다' 항목 대시보드 포함 여부 회귀 테스트,매도 당시상태로 '다른 데 돈이 필요했다'를 선택한 기록 존재,1. 6-1 당시 마음 상태(매도) 파이차트/범례 확인,'다른 데 돈이 필요했다' 항목이 제외되지 않고 다른 항목과 동일하게 포함되어 노출된다 (카드 발행 로직의 집계제외 규칙은 이 대시보드엔 적용되지 않음),실측: 매도 당시상태로 '다른 데 돈이 필요했다'를 선택한 기록 1건 추가 후 대시보드 '당시 상태 분포'에 해당 항목이 제외되지 않고 다른 항목과 동일하게 1건으로 정상 노출됨을 확인.
23,6-1,실패,1순위,자주 겹치는 조합 TOP3 표시,판단근거×당시상태 조합이 서로 다른 빈도로 여러 건 존재,1. 6-1 자주 겹치는 조합 카드 확인,상위 3개 조합이 막대바+건수로 정확히 표시된다,'자주 격치는 조합' TOP3 카드 자체가 6-1 화면에 존재하지 않음(최하단까지 스크롤 확인 + 접근성 트리 검색으로도 미검출)
24,6-1,실패,2순위,자주 겹치는 조합 동률 정렬,"동일 건수를 가진 조합이 2개 이상 존재, 발생 시점이 다름","1. 동률 조합의 발생 순서 확인
2. 6-1 TOP3 카드에서 노출 순서 확인",동률 조합은 발생 최신순으로 정렬되어 노출된다,23번과 동일하게 TOP3 카드 자체가 존재하지 않아 동률 정렬 로직 검증 불가
25,6-1,실패,1순위,TOP3 조합 집계 스코프 검증(전체기록 vs 최근10건),"매매 기록이 10건을 초과하고, 오래된 기록에만 있는 조합 존재","1. 10건 이전 시점에만 존재하는 조합 포함해 기록 생성
2. 6-1 TOP3 카드에서 해당 조합 반영 여부 확인","카드 발행 로직의 '최근 10건 윈도우'가 아니라 전체 매매기록 기준으로 집계되어, 오래된 기록의 조합도 반영된다",23번과 동일하게 TOP3 카드 자체가 존재하지 않아 집계 스코프(전체 vs 최근10건) 검증 불가
26,6-1,통과,1순위,6-1 기본 진입 조건,전체 매매기록 1건 이상,1. 인사이트 탭 진입,6-1(대시보드: 기록 있음)이 기본으로 노출된다,매매기록 4건 존재 상태에서 인사이트 탭 진입 시 6-1(대시보드-기록있음)이 기본으로 노출됨
27,6-2,통과,1순위,6-2 헤더 문구 동일성,전체 매매기록 0건,1. 인사이트 탭 진입,"헤더 문구(""인사이트""/""나의 기록 통계""/서브카피)가 6-1과 동일하게 노출된다","0건 상태에서 헤더 영역 확인: ""인사이트"" / ""나의 기록 통계"" / ""전체 매매 기록을 기준으로 정리했어요"" - 1건 이상 있는 상태(6-1)와 동일한 헤더 문구가 노출됨. 기대결과 충족."
28,6-2,실패,1순위,6-2에서 경향해석 탭 비활성,"전체 매매기록 0건, 6-2 진입 상태",1. 경향해석 탭 클릭,"대시보드 탭은 활성 상태를 유지하고, 경향해석 탭은 클릭해도 화면이 전환되지 않는다","전체 매매기록 0건 상태에서 경향해석 탭을 클릭하면 비활성화되지 않고 정상적으로 클릭되어 화면이 전환됨. 자체 빈 상태 문구 노출: ""아직 반복 패턴 카드가 없어요 / 같은 판단 근거와 당시 상태가 3건 모이면 관찰·해석 문장으로 보여 드려요. 매수 0/3 · 매도 0/3"". 스펙(클릭해도 화면 전환 없음)과 불일치."
29,6-2,실패,1순위,6-2 안내 문구 노출,전체 매매기록 0건,1. 6-2 화면 확인,"""아직 기록이 없어요"" + ""매매를 기록하면 나만의 통계가 이렇게 채워져요"" 문구가 정확히 노출된다","실제 0건 상태 문구는 ""0건 / 지금까지 기록한 매매 / 매수 0건·매도 0건"" + 카드별 ""기록이 더 쌓이면 일자별 추이가 그려져요"" / ""판단 근거를 고른 기록이 아직 없어요"" 등으로, 스펙이 기대한 ""아직 기록이 없어요"" + ""매매를 기록하면 나만의 통계가 이렇게 채워져요"" 문구와 다름. 별도의 6-2 안내 카피 자체가 존재하지 않고 6-1 레이아웃을 각 카드별 0건 placeholder로 재사용하는 구조."
30,6-2,실패,2순위,예시 카드 캐러셀 구성·순서,전체 매매기록 0건,1. 6-2 예시 카드 캐러셀 확인,카드 5개(계획이행현황/매매추이/판단근거분포/당시상태분포/자주겹치는조합)가 정해진 순서로 배치된다,"0건 상태 화면 전체를 스크린샷/스크롤로 확인한 결과 예시 카드 캐러셀 자체가 존재하지 않음. 6-1과 동일한 카드형 레이아웃(요약/매매추이/계획이행현황/판단이유)이 세로로 나열되고 각 카드가 개별 0건 placeholder 텍스트를 표시할 뿐, 캐러셀·5개 예시카드 구성은 구현되어 있지 않음."
31,6-2,실패,1순위,예시 카드 캐러셀 초기 노출·peeking,"전체 매매기록 0건, 6-2 최초 진입",1. 6-2 진입 직후 캐러셀 상태 확인,"카드1(매매추이)은 전체가 보이고, 카드2(판단근거분포)는 우측 일부만 peeking 노출되어 스와이프 가능함을 암시한다",30번과 동일 사유: 예시 카드 캐러셀이 구현되어 있지 않아 peeking 노출 개념 자체가 적용 불가. 실제로는 세로 스크롤 카드 리스트만 존재.
32,6-2,실패,2순위,예시 카드 배지 노출,전체 매매기록 0건,1. 각 예시 카드 우상단 확인,"카드 5개 모두 우상단에 ""예시"" 배지가 부착되어 있다","예시 카드 개념이 없으므로 ""예시"" 배지도 어디에도 부착되어 있지 않음. 각 카드는 실제 데이터 카드와 동일한 형태로 0건 상태만 표시."
33,6-2,실패,1순위,캐러셀 점 인디케이터 표시,전체 매매기록 0건,1. 캐러셀 하단 점 인디케이터 확인,"점 인디케이터 5개가 있고, 현재 카드 위치가 검정색으로 표시된다",캐러셀이 없으므로 점 인디케이터도 존재하지 않음.
34,6-2,실패,1순위,캐러셀 스와이프·인디케이터 클릭 이동,전체 매매기록 0건,"1. 좌우로 스와이프해 카드 이동
2. 점 인디케이터 클릭으로 특정 카드로 이동",스와이프와 인디케이터 클릭 모두 정확한 카드 위치로 이동한다,캐러셀·인디케이터가 구현되어 있지 않아 스와이프/클릭 이동 자체를 테스트할 대상이 없음.
35,6-2,실패,1순위,6-2 하단 CTA 진입 이동,전체 매매기록 0건,"1. ""첫 매매 기록하기"" 버튼 클릭",매매 기록 플로우 시작 화면(4-1.a)으로 이동한다,"0건 상태의 인사이트 대시보드 화면 전체를 확인했으나 ""첫 매매 기록하기"" 같은 하단 CTA 버튼이 인사이트 화면 내에는 존재하지 않음(홈 화면의 ""매매 기록하기"" 타일과는 별개). 인사이트 화면에서 기록 플로우로 바로 진입하는 CTA 자체가 없어 기대결과 검증 불가/미구현."
37,6-3,실패,1순위,6-3 헤더 문구 노출,매수·매도 누적기록이 각각 0<n<3건 (카드 미발행 상태),1. 경향해석 탭 진입,"""반복되는 판단을 보여드려요"" + ""매수·매도 판단은 각각 따로 집계돼요"" 문구가 정확히 노출된다","실제 노출 문구는 ""아직 반복 패턴 카드가 없어요 / 같은 판단 근거와 당시 상태가 3건 모이면 관찰·해석 문장으로 보여 드려요. 매수 N/3 · 매도 N/3""으로, 스펙이 기대하는 ""반복되는 판단을 보여드려요"" + ""매수·매도 판단은 각각 따로 집계돼요"" 문구와 완전히 다름."
38,6-3,통과,1순위,6-3 탭 활성 표시,6-3 진입 상태,1. 탭바 확인,경향해석 탭이 활성 상태(밑줄)로 표시된다,경향해석 탭이 밑줄로 활성 표시됨 확인.
39,6-3,실패,1순위,매수 진행박스 레이아웃,매수 누적기록 0<n<3,1. 6-3 매수 진행박스 확인,"""매수"" 라벨, ""N/3건"" 카운트, 3칸 세그먼트 바, 안내문구가 정확히 노출된다","스펙이 기대하는 ""매수"" 단독 라벨+카운트+3칸 세그먼트바 형태의 진행박스가 아니라, ""매수·N/3"" 배지 + 판단근거명 타이틀 + 당시상태 안내문구로 구성된 ""후보(판단근거×당시상태 조합) 카드"" 형태임. 3칸 세그먼트 바는 존재하지 않음."
40,6-3,실패,1순위,매수 세그먼트 채움 수 계산,매수 누적기록 0건/1건/2건 각각의 상태,"1. 매수 누적 0건 상태에서 세그먼트 바 확인
2. 1건, 2건일 때 각각 재확인","채워진 세그먼트 수 = min(누적기록수, 3)으로 각 케이스에서 정확히 계산된다","시각적 3칸 세그먼트 바 UI 자체가 존재하지 않아 검증 대상이 없음. 단, 배지의 텍스트 카운트는 min(n,3) 로직대로 정확히 동작함을 실측로 확인(매수 1건→1/3, 2건→2/3)."
41,6-3,통과,2순위,매수 잔여 건수 안내문구 계산,매수 누적기록 2건,1. 6-3 매수 진행박스 안내문구 확인,"잔여건수(3-누적) 계산이 정확하다 (예: 2건 쌓였으면 ""1건만 더 기록하면..."")","매수 누적 2건 상태에서 안내문구 ""...조합이 1건 더 쌓이면 카드가 발행돼요""로 잔여건수(3-2=1) 계산이 정확히 맞음. 문구 형식은 스펙 예시(""1건만 더 기록하면"")와 다르나 계산 로직 자체는 일치."
42,6-3,통과,1순위,매도 진행박스 독립 계산,"매수와 매도 누적기록 수가 서로 다른 상태(예: 매수 1건, 매도 2건)",1. 매도 진행박스의 세그먼트/안내문구 확인,"매도 진행박스가 매수와 별개로 동일한 로직(min(n,3), 잔여=3-n)으로 정확히 계산·표시된다","실측: 매수 2건/매도 1건으로 서로 다른 상태에서 두 후보박스가 각각 독립적으로 ""매수·2/3""/""매도·1/3""로 정확히 표시되고 잔여문구도 각각 정확함을 확인."
43,6-3,통과,2순위,진행박스 인터랙션 불가,6-3 진입 상태,1. 매수/매도 진행박스 클릭 시도,진행박스는 클릭 등 인터랙션이 동작하지 않는다,후보카드 클릭 시 아무런 반응/화면 전환이 없음.
44,6-3,실패,1순위,6-3 하단 CTA 이동,6-3 진입 상태,"1. ""매매 기록하기"" 버튼 클릭",매매 기록 플로우 시작 화면(4-1.a)으로 이동한다,"6-3(경향해석 후보카드) 화면 하단에 ""매매 기록하기"" CTA 버튼 자체가 존재하지 않음(화면에는 후보카드와 맥량 문구만 존재)."
45,6-3,통과,1순위,6-3 진입 조건 검증,매수·매도 누적기록이 각각 0<n<3,1. 경향해석 탭 진입,0<매수누적<3 AND 0<매도누적<3 조건을 만족할 때만 6-3이 노출된다,매수 2건·매도 1건(각각 0<n<3) 상태에서 후보카드 형태의 6-3 화면이 정상 노출됨을 확인.
46,6-3,실패,1순위,매수/매도 중 한쪽만 0건인 경우 노출 화면 확인,"매수 누적기록 0건, 매도 누적기록 1~2건 (또는 그 반대 케이스)","1. 경향해석 탭 진입
2. 노출되는 화면이 6-2, 6-3 중 무엇인지 확인",6-3 진입조건(0<매수<3 OR 0<매도<3)별 실제 노출 화면(6-2 또는 6-3 중 하나),"실측: 매수 2건·매도 0건 상태에서 6-2(빈 상태) 또는 완전한 6-3이 아닌 제3의 혼합 형태가 노출됨: 헤더 문구는 ""매수 2/3 · 매도 0/3""로 두 값 모두 표시되지만, 실제 후보카드는 매수 카드 1개만 노출되고 매도 카드는 아예 나타나지 않음(0건이라 후보 자체가 없으므로). 이는 엄격한 진입조건(0<매수<3 AND 0<매도<3)을 위반한 채 6-3 스타일 화면을 부분적으로 계속 노출하는 제3의 동작으로, 기획 의도(6-2 또는 6-3 중 하나를 명확히 택해야 함)와 불일치"
