번호,화면,상태,우선순위,시나리오,사전조건,수행단계,기대결과,실제결과
1,2-1,성공,1순위,인사이트 0건 시 홈(2-1) 노출,인사이트 0건 계정 로그인됨,홈 진입,진행률 카드 중심의 2-1 화면이 노출된다,2-1 정상 노출
2,2-1,성공,1순위,인사이트 1건+ 발행 시 2-2 전환,인사이트 0건 상태,인사이트 발행 → 홈 갱신,1건 이상이 되면 2-2로 자동 전환된다,발행 후 2-2 전환됨(경계값 0↔1 정상)
3,2-1,성공,2순위,상단 로고/워드마크 노출,홈 2-1 진입,상단 좌측 확인,"로고+""패턴노트"" 워드마크 노출, 아이디 첫 글자 대체 안 됨",로고 미노출·아이디 첫 글자 아바타로 대체됨 → 로고 삽입 필요
3a,2-1,실패,1순위,상단 알림 아이콘 미노출,홈 2-1 진입,상단 우측 아이콘 확인,알림 아이콘이 노출되지 않는다,알림 아이콘 노출됨 
3b,2-1,실패,1순위,상단 캘린더 아이콘 미노출,홈 2-1 진입,상단 우측 아이콘 확인,캘린더 아이콘이 노출되지 않는다,캘린더 아이콘 노출됨 
4,2-1,성공,2순위,인사말·닉네임 표기,로그인·닉네임 설정됨,인사말·닉네임 확인,"""안녕하세요, {닉네임}님""에 실제 닉네임 반영",정상 반영(특수문자/길이 케이스 추가 확인 권장)
5,2-1,성공,1순위,진행률 카드 2개 노출,인사이트 0건,진행률 영역 카드 수 확인,매수·매도 진행률 카드가 각각 노출된다,카드 2개 노출됨(레이아웃은 5b 참고)
5a,2-1,실패,1순위,진행률 카드 제목 문구,진행률 카드 노출 중,각 카드 제목 확인,"제목이 ""매수""/""매도""로 표기된다","""오늘의 매수""·""오늘의 매도""로 노출 → ""매수""·""매도""로 변경"
5b,2-1,실패,1순위,진행률 카드 캐러셀 레이아웃,진행률 카드 노출 중,배치·스와이프 확인,가로 캐러셀로 우측 카드 일부 peeking·스와이프 암시,상하 배치로 노출 
6,2-1,성공,1순위,발행까지 N건 문구/진행바,해당 유형 기록 3건 미달,문구·진행바 확인,"""인사이트 카드 발행까지 N건 남아 있어요""+진행바+""N/3"" 노출",3건 미달 시 정상 노출
7,2-1,성공,1순위,N 계산 로직,유형별 기록 수 존재,기록 수 변경 → N 확인,N=3?해당 유형 누적 기록 수로 정확 계산된다,3건 미달 케이스 정상 계산
8,2-1,보류,2순위,3건+·비율 미충족 예외 문구,표본 3건+·비율 조건 미충족,문구 확인,"""아직 눈에 띄는 경향이 확인되지 않았어요. 기록을 추가해보세요."" 노출","현재 ""인사이트 카드를 확인할 수 있어요"" 노출 "
9,2-1,실패,1순위,이번 달 기록 카드 구성,당월 기록 존재,카드 구성요소 확인,"총 건수+매수·매도 분리+""인사이트 보기 →"" 모두 노출","""인사이트 보기 →"" 미노출 "
9a,2-1,실패,2순위,이번 달 기록 카드 그래프,당월 기록 존재,카드 우측 확인,우측 파란색 그래프가 노출되지 않는다,파란색 그래프 노출됨 
10,2-1,실패,1순위,이번 달 기록 집계 ,이번 달 매매 기록 혹은 이번 달이 아닌 매매를 이번 달에 기록,이번 달 기록에 집계 확인,전월 매매를 당월 기록해도 합산에 포함된다,현재 집계에서 배제됨
11,2-1,실패,1순위,"""인사이트 보기 →"" 이동",이번 달 기록 카드 노출,"""인사이트 보기 →"" 탭",탭 시 인사이트 탭으로 이동한다,9번 미노출로 동작 불가(9 선행)
12,2-1,성공,2순위,액션 카드 2개 노출,홈 2-1 진입,액션 카드 영역 확인,"""매매 기록하기""·""계획 등록하기"" 2개 노출",정상 노출
13,2-1,성공,1순위,"""매매 기록하기"" 이동",액션 카드 노출,매매 기록하기 탭,4-1a로 이동,정상 이동
14,2-1,성공,1순위,"""계획 등록하기"" 이동",액션 카드 노출,계획 등록하기 탭,3-2a로 이동,정상 이동
15,2-1,성공,2순위,최근 기록 헤더/전체보기,홈 2-1 진입,헤더 영역 확인,"""최근 기록"" 헤더+""전체보기"" 노출",정상 노출
15a,2-1,실패,2순위,최근 기록 빈 상태 문구,기록 0건 계정,문구 확인,"""아직 실제 기록이 없어요""+""방금 매매한 종목을 남겨 보세요."" 노출",다른 문구 노출됨 -
16,2-1,성공,1순위,최근 기록 리스트(5건),기록 6건+,리스트 확인,"최신순 5건, 아이콘·종목명·라벨·금액 정확(6건+ 시 5건만)",정상 노출
16a,2-1,실패,2순위,매매 사유 미노출,기록 존재,항목 구성 확인,항목에 매매 사유가 노출되지 않는다,매매 사유 노출됨 → 미노출 처리
17,2-1,성공,2순위,"""전체보기"" 이동",최근 기록 노출,전체보기 탭,기록 전체 리스트로 이동,정상 이동
18,2-1,실패,1순위,금액 기본 블러,최근 기록 노출,진입 직후 금액 확인,진입 시 금액이 기본 블러 처리된다,블러 미처리 
19,2-1,보류,1순위,기록 항목 탭 상세 이동,최근 기록 노출,항목 탭 → 이동 확인,항목(금액 외) 탭 시 해당 기록 상세로 이동,현재 우측 '>' 탭으로 이동. '>' 제거 후 항목 전체 탭 여부 결정 필요
20,2-1,실패,1순위,블러 금액 탭 해제,금액 블러 상태,블러 금액 탭 → 확인,탭 시 해제되어 금액 노출(항목 이동과 미충돌),18번 블러 미적용으로 검증 불가(18 선행)
21,2-1,성공,2순위,하단 탭바,로그인 상태,탭바 노출·각 탭 이동,홈·기록·계획·인사이트 4개 노출·이동 정상,정상 동작
22,2-1,성공,2순위,푸터 면책 문구,최하단 스크롤,문구 확인,서비스 면책 문구 전문 노출,정상 노출
23,2-1,실패,2순위,푸터 링크 3종,최하단 스크롤,링크 노출·각 탭,이용약관/개인정보/문의하기 노출·각 이동(문의 채널 TBD),링크 3종 미노출 
24,2-1,실패,2순위,푸터 저작권,최하단 스크롤,저작권 확인,"""? 2026 패턴노트"" 노출",저작권 미노출 
25,2-1,보류,2순위,푸터 위치,최하단 스크롤,위치 확인,최근 기록~탭바 사이 최하단 배치,면책 위치 정상 / 링크·저작권 미노출로 부분 확인(23·24)
26,2-2,성공,1순위,인사이트 1건+ 시 2-2 노출,인사이트 1건+ 계정,홈 진입,진행률 카드 자리를 인사이트 캐러셀이 대체한 2-2 노출,정상 노출
27,2-2,실패,2순위,상단 로고/인사말(2-1 동일),홈 2-2 진입,상단 영역 확인,2-1과 동일 구조로 로고+워드마크·인사말 노출,2-1의 로고 미노출·알림·캘린더(3·3a·3b) 동일 이슈
