"데이터셋","거래유형","대분류","표시문장","메타데이터"
"판단근거","공통","시장 전체 분위기를 보고","시장 전체 지수가 크게 오르내려서","주요 지수 급등락"
"판단근거","공통","시장 전체 분위기를 보고","금리나 환율이 크게 바뀌어서","금리·환율 변동"
"판단근거","공통","시장 전체 분위기를 보고","내가 투자한 업종 전체에 좋거나 나쁜 소식이 있어서","업종/섹터 전반 이슈"
"판단근거","공통","회사 소식을 보고","실적이 예상보다 크게 좋거나 나빠서","실적발표(서프라이즈/쇼크)"
"판단근거","공통","회사 소식을 보고","회사가 자기 회사 주식을 사들이거나 없애서","자사주 소각·매입"
"판단근거","공통","회사 소식을 보고","주요 주주 지분이 일정 기간 팔 수 없게 묶여서","락인(보호예수) 설정"
"판단근거","공통","회사 소식을 보고","묶여 있던 주요 주주 지분이 풀려서","락인 해제"
"판단근거","공통","회사 소식을 보고","회사가 돈을 받고 새 주식을 발행해서","유상증자"
"판단근거","공통","회사 소식을 보고","회사가 주주들에게 주식을 무료로 나눠줘서","무상증자"
"판단근거","공통","회사 소식을 보고","배당을 준다는 발표가 있어서","배당 공시"
"판단근거","공통","회사 소식을 보고","다른 회사와 합쳐지거나 주요 주주가 바뀌어서","인수합병·지분변동"
"판단근거","공통","회사 소식을 보고","새로 증시에 상장해서","신규상장(IPO)"
"판단근거","공통","관련 뉴스를 보고","정부 정책이나 규제 소식이 있어서","정책·규제 뉴스"
"판단근거","공통","관련 뉴스를 보고","업종이나 테마가 뜬다는 뉴스를 보고","산업 트렌드·테마 뉴스"
"판단근거","공통","관련 뉴스를 보고","회사에 안 좋은 뉴스나 사건이 있어서","기업 리스크·스캔들 뉴스"
"판단근거","공통","차트를 보고","차트에서 자주 멈추던 가격대를 뚫고 움직여서","차트 패턴(지지·저항, 돌파)"
"판단근거","공통","차트를 보고","거래량이 갑자기 크게 늘거나 줄어서","거래량 급증·급감"
"판단근거","공통","차트를 보고","차트 흐름을 보고 방향이 바뀌는 것 같아서","이동평균선 신호"
"판단근거","공통","다른 사람 이야기를 듣고","지인이 추천해서","지인 추천"
"판단근거","공통","다른 사람 이야기를 듣고","커뮤니티나 SNS에서 보고","커뮤니티·SNS 정보"
"판단근거","공통","다른 사람 이야기를 듣고","증권사 리포트나 전문가 의견을 보고","전문가 리포트·애널리스트 의견"
"당시상태","매수",,"계획대로여서 특별한 느낌은 없었다","중립"
"당시상태","매수",,"많이 떨어져 있어서 지금이 기회라고 봤다","저가 착각, 물타기"
"당시상태","매수",,"오르는 중이었지만 더 갈 거라고 봤다","추세 과잉확신"
"당시상태","매수",,"지금 아니면 놓칠 것 같았다","급등 추격, 조급함"
"당시상태","매수",,"앞서 본 손실을 빨리 되돌리고 싶었다","손실 만회 매매"
"당시상태","매수",,"다들 사는 분위기라 나만 빠지는 것 같았다","군집 행동"
"당시상태","매수",,"확신은 없었지만 일단 들어가 봤다","무지성"
"당시상태","매도",,"계획한 지점이라 담담했다","중립"
"당시상태","매도",,"가격이 급하게 떨어지는 상황에서 더 떨어질까 봐 무서웠다","공포 매도"
"당시상태","매도",,"지금 이익이 사라질까 봐 조급했다","수익 조기 실현"
"당시상태","매도",,"산 가격까지 다시 올라와서 마음이 놓였다","원금 회복 심리"
"당시상태","매도",,"버티면 오를 줄 알았는데 결국 접었다","손절 지연 후 항복"
"당시상태","매도",,"왜 팔았는지 나도 잘 모르겠다","무지성"
"당시상태","매도",,"다른 데 돈이 필요했다","(집계 제외)"
