번호,화면,상태,우선순위,시나리오,사전 조건,수행 단계,기대 결과,실제 결과
1,"4-2, 4-2aa, 4-2ab, 4-2b, 4-2c, 4-2d, 4-3a, 4-3b, 4-4, 4-5, 4-5aa, 4-5ab, 4-5b, 4-5c, 4-5d, 4-6, 4-7",실패,1순위,헤더 카피가 와이어프레임과 동일하다,로그인,,매수 기록 n/3 단계 혹은 매도 기록 n/3단계 로 보여야 함,매수 기록 n/4 단계 혹은 매도 기록 n/4단계 로 보임
2,"4-2, 4-5",실패,1순위,종목 선택 시 필드별로 기본값이 보인다,로그인,종목A 선택 \> 4-2 혹은 4-5 화면 랜딩 \> 뒤로가기 \> 종목B 선택 \> 4-2 혹은 4-5화면 확인,기록 수정이 아닌 최초 작성 시 정보 입력 필드별 기본값이 노출된다. 기능명세에 있는 필드별 기본값: 매도가 팰드: 0원 혹은 \$0. 수량 필드 기본값 0주. 매매일자 오늘날짜. 매매 시각 00:00 플레이스홀더 텍스트.,기록 수정이 아닌 최초 작성 시 정보 입력 필드별 기본값이 노출되지 않고 이전에 선택했던 종목 정보 기입 시 입력했던 값들이 그대로 유지되어 노출된다
3,4-1a,실패,1순위,홈과 기록탭에서 “매매 기록하기” 클릭 시 4-1a종목 검색 화면 랜딩,로그인,"홈탭 \> 매매 기록하기, 기록탭 \> 기록하기",4-1a 페이지 랜딩,4-1a로 랜딩되지 않고 와이어프레임에 존재하지 않는 매수/매도 선택 화면으로 랜딩된다
4,4-1a,성공,1순위,종목을 선택하기 전 기록 시작 버튼을 비활성화한다,종목 검색 화면,종목 미선택 상태에서 CTA 탭 → 종목 선택 후 CTA 탭,미선택 시 회색·무반응이고 선택 후 활성화된다,미선택 시 회색·무반응이고 선택 후 활성화된다
5,4-1b,보류,1순위,종목 선택 후 팝업에서 매수·매도 기록 유형을 선택한다,"종목 검색 화면, 종목 선택 완료",종목 선택 → 기록 시작하기 → 기록 유형 팝업 확인 → 매수 기록/매도 기록 각각 선택,"종목 검색 화면에는 유형 탭이 없고, CTA 탭 후 팝업에서 선택한 유형에 맞춰 4-2 또는 4-5로 이동한다.",팝업창 존재하지 않음
6,"4-1a, 4-1b",실패,1순위,종목 선택 UI가 와이어프레임과 일치한다,로그인,홈과 기록탭에서 ‘기록하기’ 클릭,와이어프레임에 있는 UI가 그대로 보인다,검색 필드 하단에 ‘많이 찾는 종목’만 삭제 필요
7,4-1a,실패,1순위,종목명 검색에서 영문 대소문자와 공백을 정규화한다,영문 종목명이 DB에 존재,대문자·소문자·중간 공백·앞뒤 공백을 달리해 동일 종목 검색,대소문자를 구분하지 않고 공백 제거 후 비교해 동일한 포함 검색 결과를 표시한다.,공백 포함 검색 시 결과가 뜨지 않는다
8,4-1a,성공,2순위,검색 결과가 없는 경우 빈 상태를 안내한다,종목 검색 화면,존재하지 않는 검색어 입력 → 검색,결과 없음 안내가 표시되고 임의 종목을 생성하지 않는다.,존재하지 않는 검색어 입력 → 검색
9,4-1a,성공,2순위,부분 종목명으로 관련 검색 결과를 표시한다,종목 검색 화면,종목명 일부 입력 → 검색,일치하는 종목 후보와 종목코드가 구분되어 표시된다.,종목명 일부 입력 → 검색
10,"4-2, 4-5",실패,1순위,가격 필드 입력 로직이 정책과 동일하다,종목 선택 완료,종목 선택 \> 가격 입력,가격 필드 입력 로직이 기능 명세에 적혀있는 정책과 동일하다,"KRW 소수점 위로 10자리 조건 반영이 안됨<br>USD 소수점 위로 6자리, 아래로 2자리 조건 반영이 안됨<br>현재는 숫자 무한대 입력 가능.<br>숫자 입력 시 단위에 따라 , 노출 안됨"
11,"4-2, 4-5",실패,1순위,화면 UI가 와이어프레임과 일치한다,종목 선택 완료,종목 선택 \> 화면 확인,와이어프레임의 카피와 UI가 구현 화면에 동일하게 노출된다,타이틀 카피가 와이어프레임과 다름<br>매수/매도 선택 영역이 와이어프레임에 없음<br>매수가 필드와 수량 필드의 길이와 위치가 와이어프레임과 다름<br>수량 양 옆의 +/- 버튼이 없음<br>종목명 텍스트 UI가 와이어프레임과 다름.<br>매수 기록 단계 헤더가 n/3이어야 하는데 n/4로 보임
12,"4-2, 4-5",실패,1순위,수량 필드 입력 로직이 정책과 동일하다,종목 선택 완료,종목 선택 \> 수량 입력,수량 필드 기능명세에 적인 정책과 동일,"소수점 위로 5자리, 소수점 밑으로 3자리 입력 가능한 정책이 반영  안됨. 현재는 숫자 무한대 입력 가능."
13,"4-5aa, 4-5ab, 4-5b, 4-5c, 4-5d, 4-2aa, 4-2ab, 4-2b, 4-2c, 4-2d",실패,2순위,"매수가, 수량, 매매일자와 매매 시각 필드 클릭 시 커스텀 키패드가 보인다",종목 선택 완료,종목 선택 \>필드 클릭,와이어프레임과 기능명세에 적혀있는 커스텀 키패드가 각 필드를 클릭하면 보인다,커스텀 키패드가 전혀 보이지 않는다
14,"4-5aa, 4-5ab, 4-2aa, 4-2ab",보류,2순위,가격 전용 키패드의 입력·삭제·완료를 처리한다,종목 선택 완료,가격 필드클릭 \> 커스텀 키패드 버튼 클릭,콤마와 통화 형식이 실시간 반영되고 완료 후 값이 확정된다.,커스텀 키패드 존재하지 않음
15,"4-5b, 4-2b",보류,2순위,수량 전용 키패드로 수량 입력/저장/수정을 할 수 있다,종목 선택 완료,수량 필드클릭 \> 커스텀 키패드 버튼 클릭,,커스텀 키패드 존재하지 않음
16,"4-5c, 4-2c",실패,1순위,매매일자 달력에서 미래 날짜를 비활성화한다,종목 선택 완료,달력 열기 → 오늘/내일 선택 시도,오늘은 선택되고 이후 날짜는 비활성·선택 불가다.,미래 날짜를 선택할 수 있다
17,"4-2, 4-5",성공,1순위,가격·수량이 0이면 다음 단계 진입을 차단한다,매수 또는 매도 정보 입력 화면,가격만 0 → 수량만 0 → 둘 다 0 상태에서 다음 선택,"다음 버튼이 비활성화되어 단계가 진행되지 않으며, 날짜는 당일 기본값·시간은 선택값으로 처리된다.",가격만 0 → 수량만 0 → 둘 다 0 상태에서 다음 선택
18,"4-5, 4-2",실패,1순위,매매 시간 선택 또는 생략을 저장한다,정보 입력 화면,시간 휠 선택 저장 → 다른 기록은 시간 없이 저장,선택 시 HH:mm이 저장되고 생략 시 상세에는 날짜만 표시된다.,와이어프레임에 있는 플레이스홀더 텍스트가 없으며 시각이 선택 옵션으로 보이지 않음
