번호,화면 ID,상태,우선순위,시나리오,사전조건,수행단계,기대결과,실제결과
1,3-1,성공,2순위,"빈 상태 ""계획"" 헤더 노출",계획 0건 계정 로그인됨,계획 탭 진입,"상단에 ""계획"" 헤더가 노출된다",정상 노출
2,3-2,성공,2순위,빈 상태 일러스트,"계획 0건, 3-1 노출 중",일러스트 영역 확인,원형 플레이스홀더 노출,정상 노출
3,3-3,실패,2순위,빈 상태 안내문 문구,"계획 0건, 3-1 노출 중",안내문 확인,"""아직 등록한 계획이 없어요"" 노출","현재 ""오늘 매매 계획을 세워보세요!"" 노출 "
4,3-4,실패,2순위,빈 상태 서브텍스트 문구,"계획 0건, 3-1 노출 중",서브텍스트 확인,"""미리 정해 둔 계획이 있다면 기록해 보세요 · 매매를 기록할 때 나란히 볼 수 있어요"" 노출","현재 ""희망 매수가·손절가·목표가를 미리 적어 두면…"" 노출 "
5,3-5,실패,2순위,계획 종류 안내 리스트,"계획 0건, 3-1 노출 중",안내 리스트 확인,매수/매도 계획 안내 2종 노출,안내 리스트 미노출 → 2종 노출 필요
6,3-6,성공,1순위,"""매매 계획 세우기""로 이동","계획 0건, 3-1 노출 중",버튼 탭 → 이동 확인,탭 시 3-2a로 이동,정상 이동
7,3-7,성공,2순위,CTA 버튼 텍스트,"계획 0건, 3-1 노출 중",버튼 텍스트 확인,"버튼이 ""매매 계획 세우기""로 표기",정상 노출
8,3-8,성공,2순위,하단 탭바,로그인·3-1 노출 중,탭바·각 탭 이동,탭바 노출·이동 정상,정상 동작
9,3-2,성공,2순위,"목록 ""계획"" 헤더 노출",계획 1건+ 계정,계획 탭 진입,"상단에 ""계획"" 헤더 노출",정상 노출
10,3-3,실패,2순위,신규 등록 버튼 텍스트,계획 1건+ 등록됨,우측 버튼 텍스트 확인,"버튼이 ""새 계획""으로 표기","현재 ""등록"" 노출 → ""새 계획""으로 수정"
11,3-4,성공,1순위,계획 유무 화면 분기,0건·1건+ 계정 각각 준비,상태별 진입,"1건+면 3-2, 0건이면 3-1 노출",정상 분기
12,3-5,성공,1순위,신규 등록 버튼 이동,"계획 1건+, 3-2 노출 중",버튼 탭 → 이동 확인,탭 시 3-2a로 이동,정상 이동
13,3-6,실패,2순위,목록 상단 안내문,계획 1건+ 등록됨,안내문 영역 확인,"""종목마다 매수 계획·매도 계획을 따로 등록할 수 있어요"" 노출",안내문 미노출 
14,3-7,성공,2순위,카드 종목명 표시,계획 1건+ 등록됨,카드 종목명 확인,각 카드에 종목명 정상 노출,정상 노출
15,3-8,실패,1순위,매수/매도 유형 배지,매수·매도 계획 각각 등록됨,카드 우상단 배지 확인,"우상단에 ""매수 계획""/""매도 계획"" 배지 노출",배지 미노출 → 우상단 노출 필요
16,3-9,실패,1순위,유형별 조건 요약 포맷,매수·매도 계획 각각 등록됨,요약 문구 확인,"매수 ""희망가 A원~B원"", 매도 ""목표가 A원 손절가 B원""",매수·매도 모두 희망가·손절가·목표가 함께 노출 → 유형별 포맷으로 수정
17,3-10,보류,1순위,카드 탭 이동 목적지,계획 1건+ 등록됨,카드 탭 → 이동 확인,유형별 등록/수정 화면(3-3/3-3a/3-4/3-4a)으로 이동,현재 계획 내역(상세)로 이동 → 2차 기록 화면 수정 후 재확인
18,3-11,성공,2순위,카드 최신순 정렬,서로 다른 시점 등록 계획 2건+,등록 순서별 노출 확인,등록 최신순 정렬 노출,정상 정렬
19,3-12,성공,2순위,10개 단위 무한 스크롤,계획 11건+ 등록됨,하단까지 스크롤,10개 단위 무한 스크롤 추가 로딩,미검증(확인 요)
20,3-13,성공,2순위,하단 탭바,3-2 노출 중,탭바·각 탭 이동,탭바 노출·이동 정상,정상 동작
21,3-2a,성공,2순위,"진입·""계획 등록"" 헤더",3-2에 신규 등록 버튼 노출 중,신규 등록 버튼 → 진입,"뒤로가기+""계획 등록"" 헤더 노출",정상 노출
22,3-2a,성공,2순위,검색 placeholder,3-2a 진입·미입력,입력 필드 확인,"""종목명을 입력하세요"" placeholder 노출",정상 노출
23,3-2a,성공,1순위,실시간 검색 필터,3-2a 진입·종목 DB 존재,필드 탭 → 타이핑,키패드 슬라이드업·타이핑마다 실시간 필터링,정상 동작
24,3-2a,성공,1순위,부분 일치 검색,검색어 포함 종목 DB 존재,검색어 일부 입력,검색어 포함 종목만 노출(부분 일치),정상 동작
25,3-2a,성공,2순위,오름차순 정렬,검색어 포함 종목 2건+ 존재,검색어 입력,종목명 기준 오름차순 정렬 노출,정상 동작
26,3-2a,성공,2순위,대소문자 무시 매칭,알파벳 포함 종목(예: NVIDIA) 존재,대/소문자 혼용 입력,대소문자 구분 없이 매칭,정상 동작
27,3-2a,실패,1순위,공백 제거 후 비교,매칭 대상 종목 DB 존재,공백 포함 검색어 입력,공백 제거 후 비교하여 정상 매칭,"공백 포함 시 ""검색 결과 없음"" → 공백 제거 로직 적용 필요"
28,3-2a,성공,1순위,검색 결과 리스트 모두 표시,결과 11건+ 검색어 존재,결과 하단까지 스크롤,검색 결과 리스트 모두 표시,무한 스크롤 동작 안 함 → 구현 필요
29,3-2a,실패,1순위,뒤로가기 복귀 시 종목 유지,종목 선택 후 입력 화면 진입 상태,뒤로가기 → 3-2a 복귀,선택 종목이 필드에 채워진 상태로 유지,복귀 시 빈 검색 상태로 돌아감 → 선택 상태 유지 필요
30,3-2a,성공,2순위,검색 결과 리스트 표시,검색 결과 존재 검색어 입력됨,결과 리스트 확인,"""전체 검색 결과""+종목명·코드·시장구분 노출",정상 노출
31,3-2a,실패,1순위,종목 선택 시 상태 처리,검색 결과 리스트 노출 중,리스트에서 종목 탭,"선택 표시·""다음"" 활성·필드 채움·리스트 숨김",해당 동작 미적용 
32,3-2a,보류,2순위,계획 보유 종목 검색 노출,이미 계획 있는 종목 존재,계획 있는 종목 검색,유형 무관 모든 종목 노출(제외 규칙 없음),미검증(테스트 필요)
33,3-2a-2,실패,1순위,빈 결과 안내 문구,DB에 없는 검색어 입력 가능,매칭 없는 검색어 입력,"""종목을 찾지 못했어요, 입력한 내용을 다시 확인해 주세요"" 노출",다른 문구 노출 
34,3-2a-2,실패,1순위,"결과 없음 상태 ""다음"" 버튼",빈 결과 노출 중,하단 버튼 영역 확인,"""다음"" 버튼 노출(선택 없으면 비활성)·이후 플로우 진행 가능","""다음"" 버튼 자체 미노출 → 이후 팝업·이동 플로우 전체 진행 불가"
35,3-2a,보류,1순위,유형 선택 팝업,"종목 선택+""다음"" 활성 상태","""다음"" 탭","""어떤 매매 계획인가요? 매수/매도"" 팝업 노출",34번(다음 버튼 미노출)로 진입 불가(34 선행)
36,3-2a,보류,1순위,신규 조합 진입,계획 없는 종목 선택됨,유형 선택(신규 조합),팝업 없이 바로 등록/수정 화면 이동,34번으로 진입 불가(34 선행)
37,3-2a,보류,1순위,중복 조합 확인 팝업,이미 계획 있는 종목·유형 선택됨,유형 선택(중복 조합),"""이미 등록된 계획이 있어요…"" 팝업 → 네:수정 이동/아니요:닫힘",34번으로 진입 불가(34 선행)
38,3-3,보류,1순위,매수 계획 화면(국내) 존재,매수·국내 종목 선택됨,진입 시도,3-3 노출·희망가 구간 입력 가능,화면 자체 없음 → 미구현
39,3-3a,보류,1순위,매수 계획 화면(해외) 존재,매수·해외 종목 선택됨,진입 시도,3-3a가 USD 기준으로 노출,화면 자체 없음 → 미구현
40,3-4,보류,1순위,매도 계획 화면(국내) 존재,매도·국내 종목 선택됨,진입 시도,3-4 노출·목표가/손절가 입력 가능,화면 자체 없음 → 미구현
41,3-4a,보류,1순위,매도 계획 화면(해외) 존재,매도·해외 종목 선택됨,진입 시도,3-4a가 USD 기준으로 노출,화면 자체 없음 → 미구현
42,3-3/3-4 토스트,보류,2순위,저장 성공/실패 토스트,계획 입력 화면 저장 시도 가능,저장 성공·실패 유도,성공/실패 토스트 각각 노출,토스트 자체 없음 → 미구현(38~41 선행)
43,3-2a,실패,1순위,입력 화면 뒤로가기 시 종목 유지,종목 선택 후 입력 화면 진입 상태,뒤로가기 → 3-2a 복귀,선택 종목이 필드에 유지된다,복귀 시 빈 검색으로 돌아감(29 동일)
44,3-3/3-4,실패,1순위,수정 시 기존값 프리필·갱신,해당 종목·유형 계획 존재,수정 진입 → 필드 확인,기존값 프리필·저장 시 기존 데이터 갱신,등록/수정 화면 미구현으로 검증 불가(38~41 선행)
45,3-3~3-4a,성공,1순위,국내/해외 통화·표시 자동,국내·해외 종목 선택 가능,종목별 진입 → 통화·포맷 확인,"국내 KRW·해외 USD 자동, 포맷 자동 적용",종목별 자동 표시
46,3-2a,성공,1순위,부분 일치·정렬 규칙 표시,검색어 포함 종목 2건+ 존재,검색어 입력 → 결과·정렬 확인,부분 일치 노출·2건+ 오름차순 정렬,정상(24·25). 단 공백 처리는 별도 결함(27)
47,3-2a,실패,1순위,기존 계획 노출·수정 확인,이미 계획 있는 종목 존재,검색 → 선택 → 다음 → 팝업 확인,기존 계획 종목도 노출·수정 확인 팝업 표시,수정 확인 팝업 진입 불가(34→37)
48,3-3a/3-4a,실패,1순위,해외 소수점 둘째 자리 제한,해외(USD) 입력 화면 진입,"소수 2자리 초과·""."" 재입력 시도","소수점 1개·둘째 자리까지, 추가 입력 무시",등록/수정 화면 미구현으로 검증 불가(38~41 선행)
49,3-1/3-2,성공,1순위,0건/1건+ 목록 상태 분기,0건·1건+ 계정 각각 준비,상태별 진입,"0건이면 3-1, 1건+면 3-2 노출",정상 분기(1·11)
50,3-4/3-4a,보류,1순위,목표가<손절가 저장 차단,매도 계획 입력 화면 진입,목표가<손절가 입력 → 저장 시도,"""손절가는 목표가보다 낮거나 같아야해요"" 토스트·저장 차단",매도 입력 화면 미구현으로 검증 불가(40·41 선행)
51,3-3/3-3a,보류,1순위,최소>최대 저장 차단,매수 계획 입력 화면 진입,최소>최대 입력 → 저장 시도,"""최소 희망가는 최대 희망가보다 작거나 같아야해요"" 토스트·저장 차단",매수 입력 화면 미구현으로 검증 불가(38·39 선행)
52,3-2,보류,2순위,목록 최신순·10개 페이징,계획 11건+ 등록됨,하단까지 스크롤 → 정렬·로딩 확인,최신순 정렬·10개 단위 무한 스크롤,최신순 정렬 정상(18)/10개 페이징 확인 요(19)
53,3-4/3-4a,보류,1순위,매도 값 저장,매도 계획 입력 화면 진입,목표가·손절가 입력 → 저장,저장·3-2 이동·완료 토스트 노출,매도 입력 화면·토스트 미구현으로 검증 불가(40·41·42 선행)
54,3-3/3-3a,보류,1순위,매수 값 저장,매수 계획 입력 화면 진입,최소·최대 희망가 입력 → 저장,저장·3-2 이동·완료 토스트 노출,매수 입력 화면·토스트 미구현으로 검증 불가(38·39·42 선행)
